data,alg,k,avg
MovieLens,SingleObj,2,0.024136576
MovieLens,Polytope,1,NaN
MovieLens,HS-RRM,1,0.026043845
MovieLens,RRMS,1,NaN
MovieLens,RRMS-Star,1,NaN
MovieLens,Polytope,2,0.024136576
MovieLens,HS-RRM,2,0.00748653
MovieLens,RRMS,2,0.024136576
MovieLens,RRMS-Star,2,0.023447907
MovieLens,Polytope,3,0.006382991
MovieLens,HS-RRM,3,0.002012331
MovieLens,RRMS,3,0.00578774
MovieLens,RRMS-Star,3,0.019877786
MovieLens,Polytope,4,0.006382991
MovieLens,HS-RRM,4,0.001261004
MovieLens,RRMS,4,0.002435152
MovieLens,RRMS-Star,4,0.017147686
MovieLens,Polytope,5,0.001710982
MovieLens,HS-RRM,5,0.001094307
MovieLens,RRMS,5,0.001145234
MovieLens,RRMS-Star,5,0.011906818
MovieLens,Polytope,6,0.001710982
MovieLens,HS-RRM,6,0.000787823
MovieLens,RRMS,6,0.000978397
MovieLens,RRMS-Star,6,0.007197473
MovieLens,Polytope,7,0.001673919
MovieLens,HS-RRM,7,0.000787823
MovieLens,RRMS,7,0.000978397
MovieLens,RRMS-Star,7,0.00426407
MovieLens,Polytope,8,0.000817702
MovieLens,HS-RRM,8,0.000787823
MovieLens,RRMS,8,0.00048821
MovieLens,RRMS-Star,8,0.00426407
MovieLens,Polytope,9,0.00048821
MovieLens,HS-RRM,9,0.000787823
MovieLens,RRMS,9,0.000186891
MovieLens,RRMS-Star,9,0.002658695
MovieLens,Polytope,10,0.00048821
MovieLens,HS-RRM,10,0.000577176
MovieLens,RRMS,10,0.000186891
MovieLens,RRMS-Star,10,0.001817954
