data,alg,k,avg,std
MovieLens,SingleObj,5,0.038885171,0
MovieLens,Polytope,1,NaN,NaN
MovieLens,HS-RRM,1,0.084709263,0.016186978
MovieLens,RRMS,1,NaN,NaN
MovieLens,RRMS-Star,1,NaN,NaN
MovieLens,Polytope,5,0.038885171,0
MovieLens,HS-RRM,5,0.010731115,0.000694436
MovieLens,RRMS,5,0.038885171,0
MovieLens,RRMS-Star,5,0.09681545,0
MovieLens,Polytope,10,0.015124291,0
MovieLens,HS-RRM,10,0.00674181,0.000948171
MovieLens,RRMS,10,0.02077121,0
MovieLens,RRMS-Star,10,0.091250709,0.005495561
MovieLens,Polytope,15,0.015124291,0
MovieLens,HS-RRM,15,0.003023633,0.00029158
MovieLens,RRMS,15,0.02077121,0
MovieLens,RRMS-Star,15,0.083998627,0.00899718
MovieLens,Polytope,20,0.014222529,0
MovieLens,HS-RRM,20,0.002532217,0.000571874
MovieLens,RRMS,20,0.01958702,0.00355257
MovieLens,RRMS-Star,20,0.080274323,0.008091139
MovieLens,Polytope,25,0.00964593,0
MovieLens,HS-RRM,25,0.001716169,0.000392852
MovieLens,RRMS,25,0.019045451,0.003738689
MovieLens,RRMS-Star,25,0.080274323,0.008091139
MovieLens,Polytope,30,0.00964593,0
MovieLens,HS-RRM,30,0.001527172,0.000278637
MovieLens,RRMS,30,0.019045451,0.003738689
MovieLens,RRMS-Star,30,0.077075412,0.009046217
MovieLens,Polytope,35,0.005444593,0
MovieLens,HS-RRM,35,0.001183982,0.000273006
MovieLens,RRMS,35,0.018878498,0.003680962
MovieLens,RRMS-Star,35,0.074423089,0.010472801
MovieLens,Polytope,40,0.005444593,0
MovieLens,HS-RRM,40,0.001185776,0.000257823
MovieLens,RRMS,40,0.017013518,0.005188419
MovieLens,RRMS-Star,40,0.072163545,0.007939649
MovieLens,Polytope,45,0.004832899,0
MovieLens,HS-RRM,45,0.001202348,0.000183512
MovieLens,RRMS,45,0.016637604,0.005003837
MovieLens,RRMS-Star,45,0.072163545,0.007939649
MovieLens,Polytope,50,0.004832899,0
MovieLens,HS-RRM,50,0.000987097,0.000356214
MovieLens,RRMS,50,0.016479467,0.004894497
MovieLens,RRMS-Star,50,0.068919062,0.00874306
