data,alg,k,avg
email-Eu-core,SingleObj,2,0.097604172
email-Eu-core,Polytope,1,NaN
email-Eu-core,HS-RRM,1,0.05764712
email-Eu-core,RRMS,1,NaN
email-Eu-core,RRMS-Star,1,NaN
email-Eu-core,Polytope,2,0.097604172
email-Eu-core,HS-RRM,2,0.02498513
email-Eu-core,RRMS,2,0.097604172
email-Eu-core,RRMS-Star,2,0.033959558
email-Eu-core,Polytope,4,0.015749804
email-Eu-core,HS-RRM,4,0.007326172
email-Eu-core,RRMS,4,0.008781825
email-Eu-core,RRMS-Star,4,0.030988755
email-Eu-core,Polytope,6,0.008190403
email-Eu-core,HS-RRM,6,0.007326172
email-Eu-core,RRMS,6,0.008190403
email-Eu-core,RRMS-Star,6,0.022259125
email-Eu-core,Polytope,8,0.006967978
email-Eu-core,HS-RRM,8,0.003211173
email-Eu-core,RRMS,8,0.008190403
email-Eu-core,RRMS-Star,8,0.022716074
email-Eu-core,Polytope,10,0.006967978
email-Eu-core,HS-RRM,10,0.00229908
email-Eu-core,RRMS,10,0.008190403
email-Eu-core,RRMS-Star,10,0.010650081
email-Eu-core,Polytope,12,0.006967978
email-Eu-core,HS-RRM,12,0.001319457
email-Eu-core,RRMS,12,0.006447846
email-Eu-core,RRMS-Star,12,0.02020222
email-Eu-core,Polytope,14,0.006967978
email-Eu-core,HS-RRM,14,0.00229908
email-Eu-core,RRMS,14,0.008190403
email-Eu-core,RRMS-Star,14,0.006967978
email-Eu-core,Polytope,16,0.004104572
email-Eu-core,HS-RRM,16,0.001319457
email-Eu-core,RRMS,16,0.006967978
email-Eu-core,RRMS-Star,16,0.002130726
email-Eu-core,Polytope,18,0.004104572
email-Eu-core,HS-RRM,18,0.001319457
email-Eu-core,RRMS,18,0.006967978
email-Eu-core,RRMS-Star,18,0.006967978
email-Eu-core,Polytope,20,0.004104572
email-Eu-core,HS-RRM,20,0.0001
email-Eu-core,RRMS,20,0.006967978
email-Eu-core,RRMS-Star,20,0.004104572
