data,alg,k,avg,std
email-Eu-core,SingleObj,5,0.316070062,0
email-Eu-core,Polytope,1,NaN,NaN
email-Eu-core,HS-RRM,1,0.134867141,0.011222001
email-Eu-core,RRMS,1,NaN,NaN
email-Eu-core,RRMS-Star,1,NaN,NaN
email-Eu-core,Polytope,5,0.316070062,0
email-Eu-core,HS-RRM,5,0.099209988,0.003966391
email-Eu-core,RRMS,5,0.316070062,0
email-Eu-core,RRMS-Star,5,0.108004117,0
email-Eu-core,Polytope,10,0.095243882,0
email-Eu-core,HS-RRM,10,0.065141487,0.008782789
email-Eu-core,RRMS,10,0.090058052,0
email-Eu-core,RRMS-Star,10,0.10541748,0.005496716
email-Eu-core,Polytope,15,0.095243882,0
email-Eu-core,HS-RRM,15,0.041197171,0.013333497
email-Eu-core,RRMS,15,0.088277178,0.002796046
email-Eu-core,RRMS-Star,15,0.101590481,0.00779407
email-Eu-core,Polytope,20,0.070956867,0
email-Eu-core,HS-RRM,20,0.039544387,0.009130737
email-Eu-core,RRMS,20,0.085691503,0.004340866
email-Eu-core,RRMS-Star,20,0.091034147,0.013026946
email-Eu-core,Polytope,25,0.070956867,0
email-Eu-core,HS-RRM,25,0.029009879,0.006129023
email-Eu-core,RRMS,25,0.08297143,0.007715186
email-Eu-core,RRMS-Star,25,0.084795283,0.008594872
email-Eu-core,Polytope,30,0.070956867,0
email-Eu-core,HS-RRM,30,0.026148515,0.006582953
email-Eu-core,RRMS,30,0.082554807,0.007428417
email-Eu-core,RRMS-Star,30,0.083552638,0.007491141
email-Eu-core,Polytope,35,0.048400726,0
email-Eu-core,HS-RRM,35,0.025790753,0.006530384
email-Eu-core,RRMS,35,0.082554807,0.007428417
email-Eu-core,RRMS-Star,35,0.080347998,0.009592234
email-Eu-core,Polytope,40,0.048400726,0
email-Eu-core,HS-RRM,40,0.021344191,0.006759944
email-Eu-core,RRMS,40,0.079469783,0.010180867
email-Eu-core,RRMS-Star,40,0.079210866,0.009124934
email-Eu-core,Polytope,45,0.046435918,0
email-Eu-core,HS-RRM,45,0.023881031,0.005508342
email-Eu-core,RRMS,45,0.077539458,0.011443652
email-Eu-core,RRMS-Star,45,0.077306864,0.009733751
email-Eu-core,Polytope,50,0.042587274,0
email-Eu-core,HS-RRM,50,0.021895956,0.005602456
email-Eu-core,RRMS,50,0.075471665,0.011546562
email-Eu-core,RRMS-Star,50,0.076022183,0.01190038
