data,alg,k,d,avg,std
email-Eu-core,SingleObj,2,2,0.097604172,0
email-Eu-core,Polytope,10,2,0.006967978,0
email-Eu-core,HS-RRM,10,2,0.00229908,0
email-Eu-core,RRMS,10,2,0.008190403,0
email-Eu-core,RRMS-Star,10,2,0.010650081,0
email-Eu-core,SingleObj,3,3,0.169204356,0
email-Eu-core,Polytope,10,3,0.021958141,0
email-Eu-core,HS-RRM,10,3,0.013673129,0.001227916
email-Eu-core,RRMS,10,3,0.03712448,0.003637736
email-Eu-core,RRMS-Star,10,3,0.065592875,0.016342448
email-Eu-core,SingleObj,4,4,0.253518954,0
email-Eu-core,Polytope,10,4,0.074042429,0
email-Eu-core,HS-RRM,10,4,0.038631468,0.002128736
email-Eu-core,RRMS,10,4,0.061532747,0.000973233
email-Eu-core,RRMS-Star,10,4,0.099010775,0.021894017
email-Eu-core,SingleObj,5,5,0.316070062,0
email-Eu-core,Polytope,10,5,0.095243882,0
email-Eu-core,HS-RRM,10,5,0.065141487,0.008782789
email-Eu-core,RRMS,10,5,0.090058052,0
email-Eu-core,RRMS-Star,10,5,0.10541748,0.005496716
email-Eu-core,SingleObj,6,6,0.444719914,0
email-Eu-core,Polytope,10,6,0.249881833,0
email-Eu-core,HS-RRM,10,6,0.068089106,0.005515869
email-Eu-core,RRMS,10,6,0.444719914,0
email-Eu-core,RRMS-Star,10,6,0.128336383,0.029938236
email-Eu-core,SingleObj,7,7,0.367909074,0
email-Eu-core,Polytope,10,7,0.246049391,0
email-Eu-core,HS-RRM,10,7,0.074640549,0.008861835
email-Eu-core,RRMS,10,7,0.367909074,0
email-Eu-core,RRMS-Star,10,7,0.089101526,0.005852886
